Month,Web Search,News Search,Google Shopping,YouTube Search
2021-01-01,9,8,14,13
2021-02-01,9,8,14,15
2021-03-01,17,18,19,23
2021-04-01,19,18,19,25
2021-05-01,21,18,22,28
2021-06-01,20,20,20,28
2021-07-01,21,22,25,31
2021-08-01,16,17,20,25
2021-09-01,21,19,21,30
2021-10-01,22,20,22,28
2021-11-01,24,25,21,31
2021-12-01,24,34,22,36
2022-01-01,13,14,21,18
2022-02-01,16,18,21,23
2022-03-01,36,40,31,35
2022-04-01,31,32,30,33
2022-05-01,35,34,33,45
2022-06-01,29,25,28,48
2022-07-01,32,32,31,60
2022-08-01,23,26,25,39
2022-09-01,23,23,24,41
2022-10-01,29,36,25,43
2022-11-01,23,21,24,39
2022-12-01,12,12,21,21
2023-01-01,12,9,21,20
2023-02-01,22,21,22,31
2023-03-01,33,31,30,45
2023-04-01,24,19,25,32
2023-05-01,31,28,32,43
2023-06-01,26,23,27,39
2023-07-01,31,33,27,46
2023-08-01,20,22,25,34
2023-09-01,27,27,26,41
2023-10-01,32,31,32,40
2023-11-01,45,53,39,64
2023-12-01,15,14,36,24
2024-01-01,14,14,32,22
2024-02-01,28,32,33,39
2024-03-01,36,37,39,52
2024-04-01,29,27,38,43
2024-05-01,35,34,46,48
2024-06-01,29,26,32,41
2024-07-01,31,37,15,46
2024-08-01,21,23,2,33
2024-09-01,28,27,2,41
2024-10-01,29,26,2,34
2024-11-01,34,37,2,40
2024-12-01,25,25,2,36
2025-01-01,16,16,2,23
2025-02-01,20,25,2,32
2025-03-01,45,49,2,61
2025-04-01,40,42,2,54
2025-05-01,42,44,44,59
2025-06-01,49,49,58,55
2025-07-01,71,62,75,77
2025-08-01,37,41,63,49
2025-09-01,38,34,66,56
2025-10-01,39,36,66,49
2025-11-01,50,54,78,58
2025-12-01,48,37,76,56
